78,"t","Agricultural Chemical Usage 2006 Restricted Use Summary: Released October 3, 2007, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
78,"t","Sweet Corn, Fresh:  Agricultural Chemical Applications,"
78,"t","Restricted Use Pesticides,"
78,"t","Program States, 2006 1/"
78,"h","","","","","",""
78,"h","Restricted Use","Area","Appli-","Rate per","Rate per","Total"
78,"h","Pesticide","Applied","cations","Application","Crop Year","Applied"
78,"h","","","","","",""
78,"u","","Percent","Number","Pounds per Acre","Pounds per Acre","1,000 lbs"
78,"d","",,,,,
78,"d","Herbicides",,,,,
78,"d","  Acetochlor","*",1.0,1.735,1.735,0.5
78,"d","  Alachlor",12,1.0,1.876,1.906,47.4
78,"d","  Atrazine",61,1.0,1.100,1.149,153.4
78,"d","  Bentazon",2,1.0,0.435,0.454,2.3
78,"d","  Dimethenamid-P",1,1.0,0.761,0.761,1.1
78,"d","  Paraquat","*",1.1,0.415,0.437,0.4
78,"d","",,,,,
78,"d","Insecticides",,,,,
78,"d","  Bifenthrin",6,1.5,0.085,0.131,1.6
78,"d","  Carbofuran",3,1.1,0.831,0.904,5.7
78,"d","  Chlorpyrifos",21,2.5,0.820,2.036,89.4
78,"d","  Cyfluthrin",15,2.8,0.034,0.093,3.0
78,"d","  Diazinon",3,1.2,0.892,1.050,7.6
78,"d","  Esfenvalerate",22,5.9,0.037,0.215,10.0
78,"d","  Lambda-cyhalothrin",52,3.6,0.028,0.102,11.4
78,"d","  Methomyl",54,7.2,0.341,2.467,285.4
78,"d","  Methyl parathion",1,1.3,0.545,0.723,1.7
78,"d","  Permethrin",14,1.7,0.126,0.210,6.5
78,"d","  Phorate",12,1.0,1.216,1.235,30.6
78,"d","  Tebupirimphos",1,1.0,0.173,0.173,0.3
78,"d","  Tefluthrin",1,1.0,0.086,0.089,0.1
78,"d","  Terbufos",1,1.0,1.061,1.061,1.1
78,"d","  Thiodicarb",23,2.9,0.477,1.393,69.3
78,"d","  Zeta-cypermethrin",13,2.3,0.038,0.086,2.3
78,"c",""
78,"f","*   Area applied is less than 0.5 percent."
78,"f","1/  Planted  acreage in 2006 for the 14 Program States was 214,300 acres."
78,"f","^ ^  States included are CA, CO, FL, GA, IL, MI, NJ, NY, NC, OH, OR, PA, TX, and WI."
